name,id,category,value,target
主动脉弓综合征,0,0,16,0
临床表现,1,6,8,0
发热,2,2,1,1
头痛,3,2,1,1
消瘦,4,2,1,1
眩晕,5,2,1,1
疲劳,6,2,1,1
体重减轻,7,2,1,1
低视力,8,2,1,1
多尿,9,2,1,1
检查,10,6,8,0
心电描记术,11,2,1,10
血细胞计数,12,2,1,10
科室,13,6,8,0
心血管内科,14,2,1,13
心脏外科,15,2,1,13
发病部位,16,6,8,0
动脉,17,2,1,16
相关医生,18,6,8,0
张大炜,19,2,1,18
刘永民,20,2,1,18
卞策,21,2,1,18
蒋雄京,22,2,1,18
治疗,23,6,8,0
药物治疗,24,2,1,23
阿司匹林,25,3,1,24
地塞米松,26,3,1,24
己酮可可碱,27,3,1,24
泼尼松,28,3,1,24
卡托普利,29,3,1,24
双嘧达莫,30,3,1,24
妥拉唑林,31,3,1,24
烟酸,32,3,1,24
盐酸酚苄明,33,3,1,24
α-糜蛋白酶,34,3,1,24
