name,id,category,value,target
冠心病,0,0,16,0
治疗,1,6,8,0
药物治疗,2,2,1,1
阿司匹林,3,3,1,2
阿托伐他汀钙,4,3,1,2
单硝酸异山梨酯,5,3,1,2
泛癸利酮,6,3,1,2
考来替泊,7,3,1,2
磷酸川芎嗪,8,3,1,2
硫酸软骨素,9,3,1,2
洛伐他汀,10,3,1,2
马来酸噻吗洛尔,11,3,1,2
普伐他汀,12,3,1,2
禁忌,13,6,8,0
禁忌药物,14,2,1,13
地氯雷他定,15,3,1,14
酒石酸麦角胺,16,3,1,14
甲磺酸双氢麦角碱,17,3,1,14
检查,18,6,8,0
超声心动描记术,19,2,1,18
心电描记术,20,2,1,18
科室,21,6,8,0
心血管内科,22,2,1,21
心脏外科,23,2,1,21
发病部位,24,6,8,0
冠状动脉,25,2,1,24
相关医生,26,6,8,0
李宪伦,27,2,1,26
柯元南,28,2,1,26
王云,29,2,1,26
高焱莎,30,2,1,26
黄力,31,2,1,26
杜金行,32,2,1,26
张久亮,33,2,1,26
武泽民,34,2,1,26
胡佩珍,35,2,1,26
王临惠,36,2,1,26
贾海忠,37,2,1,26
李格,38,2,1,26
王燕,39,2,1,26
孙寒松,40,2,1,26
王欣,41,2,1,26
王水云,42,2,1,26
王巍,43,2,1,26
许建屏,44,2,1,26
闫军,45,2,1,26
罗国华,46,2,1,26
杨克明,47,2,1,26
吴信,48,2,1,26
常谦,49,2,1,26
孙晓刚,50,2,1,26
于存涛,51,2,1,26
陈纪林,52,2,1,26
杨跃进,53,2,1,26
陈在嘉,54,2,1,26
吴永健,55,2,1,26
尤士杰,56,2,1,26
窦克非,57,2,1,26
姚民,58,2,1,26
乔树宾,59,2,1,26
刘海波,60,2,1,26
张慧敏,61,2,1,26
秦学文,62,2,1,26
袁晋青,63,2,1,26
陈珏,64,2,1,26
熊长明,65,2,1,26
倪新海,66,2,1,26
李建军,67,2,1,26
张学智,68,2,1,26
陈江天,69,2,1,26
李海燕,70,2,1,26
刘卫红,71,2,1,26
王倩,72,2,1,26
彭伟,73,2,1,26
孔令彪,74,2,1,26
姚卫海,75,2,1,26
李静,76,2,1,26
李虹伟,77,2,1,26
王蕾,78,2,1,26
范倩,79,2,1,26
娄序笙,80,2,1,26
杨阳,81,2,1,26
李冬梅,82,2,1,26
张宏家,83,2,1,26
孙立忠,84,2,1,26
杨晔,85,2,1,26
汤楚中,86,2,1,26
高连如,87,2,1,26
朱智明,88,2,1,26
费宇行,89,2,1,26
王忠,90,2,1,26
黄丛春,91,2,1,26
王俊华,92,2,1,26
王文清,93,2,1,26
侯晓平,94,2,1,26
郑军,95,2,1,26
李军,96,2,1,26
徐浩,97,2,1,26
陈忠英,98,2,1,26
李运田,99,2,1,26
王小冬,100,2,1,26
宋成运,101,2,1,26
