name,id,category,value,target
动脉粥样硬化,0,0,16,0
临床表现,1,7,8,0
便秘,2,2,1,1
发热,3,2,1,1
腹痛,4,2,1,1
咯血,5,2,1,1
胸痛,6,2,1,1
检查,7,7,8,0
超声心动描记术,8,2,1,7
磁共振成像,9,2,1,7
心电描记术,10,2,1,7
科室,11,7,8,0
心血管内科,12,2,1,11
发病部位,13,7,8,0
动脉,14,2,1,13
相关医生,15,7,8,0
姜红,16,2,1,15
吴海英,17,2,1,15
刘卫红,18,2,1,15
治疗,19,7,8,0
药物治疗,20,2,1,19
阿司匹林,21,3,1,20
阿西美辛,22,3,1,20
苯扎贝特,23,3,1,20
毒毛花苷K,24,3,1,20
泛硫乙胺,25,3,1,20
非诺贝特,26,3,1,20
氟伐他汀,27,3,1,20
考来替泊,28,3,1,20
考来烯胺,29,3,1,20
硫酸氯吡格雷,30,3,1,20
禁忌,31,7,8,0
禁忌药物,32,2,1,31
醋酸可的松,33,3,1,32
醋酸氢化可的松,34,3,1,32
氢化可的松,35,3,1,32
