name,id,category,value,target
夹层动脉瘤,0,0,16,0
临床表现,1,6,8,0
恶心,2,2,1,1
腹痛,3,2,1,1
呼吸困难,4,2,1,1
咳嗽,5,2,1,1
呕吐,6,2,1,1
偏瘫,7,2,1,1
胸痛,8,2,1,1
晕厥,9,2,1,1
检查,10,6,8,0
超声心动描记术,11,2,1,10
磁共振成像,12,2,1,10
心电描记术,13,2,1,10
血沉,14,2,1,10
血细胞计数,15,2,1,10
科室,16,6,8,0
心血管内科,17,2,1,16
发病部位,18,6,8,0
动脉,19,2,1,18
治疗,20,6,8,0
药物治疗,21,2,1,20
阿替洛尔,22,3,1,21
呋塞米,23,3,1,21
硫代硫酸钠,24,3,1,21
吗啡,25,3,1,21
硝苯地平,26,3,1,21
硝普钠,27,3,1,21
盐酸艾司洛尔,28,3,1,21
盐酸拉贝洛尔,29,3,1,21
盐酸普萘洛尔,30,3,1,21
禁忌,31,6,8,0
禁忌药物,32,2,1,31
尿激酶,33,3,1,32
链激酶,34,3,1,32
