name,id,category,value,target
室性心动过速,0,0,16,0
临床表现,1,6,8,0
晕厥,2,2,1,1
检查,3,6,8,0
磁共振成像,4,2,1,3
心电描记术,5,2,1,3
科室,6,6,8,0
心血管内科,7,2,1,6
心脏外科,8,2,1,6
发病部位,9,6,8,0
心脏,10,2,1,9
治疗,11,6,8,0
药物治疗,12,2,1,11
阿替洛尔,13,3,1,12
苯妥英钠,14,3,1,12
硫酸镁,15,3,1,12
碳酸利多卡因,16,3,1,12
托西酸溴苄铵,17,3,1,12
盐酸胺碘酮,18,3,1,12
盐酸美西律,19,3,1,12
盐酸莫雷西嗪,20,3,1,12
盐酸普罗帕酮,21,3,1,12
盐酸普鲁卡因胺,22,3,1,12
禁忌,23,6,8,0
禁忌药物,24,2,1,23
地高辛,25,3,1,24
毒毛花苷K,26,3,1,24
米力农,27,3,1,24
甲地高辛,28,3,1,24
毛花苷丙,29,3,1,24
去乙酰毛花苷,30,3,1,24
溴新斯的明,31,3,1,24
甲硫酸新斯的明,32,3,1,24
