name,id,category,value,target
心力衰竭,0,0,16,0
临床表现,1,8,8,0
恶心,2,2,1,1
黄疸,3,2,1,1
呼吸困难,4,2,1,1
咯血,5,2,1,1
咳嗽,6,2,1,1
呕吐,7,2,1,1
疲劳,8,2,1,1
水肿,9,2,1,1
心脏杂音,10,2,1,1
检查,11,8,8,0
超声心动描记术,12,2,1,11
科室,13,8,8,0
心血管内科,14,2,1,13
发病部位,15,8,8,0
心脏,16,2,1,15
相关医生,17,8,8,0
周红,18,2,1,17
柯元南,19,2,1,17
王云,20,2,1,17
黄力,21,2,1,17
刘红,22,2,1,17
袁越,23,2,1,17
林利,24,2,1,17
唐浩勋,25,2,1,17
张久亮,26,2,1,17
贾海忠,27,2,1,17
李格,28,2,1,17
王欣,29,2,1,17
宋云虎,30,2,1,17
王巍,31,2,1,17
杨跃进,32,2,1,17
倪新海,33,2,1,17
陈江天,34,2,1,17
李海燕,35,2,1,17
彭伟,36,2,1,17
李静,37,2,1,17
李平,38,2,1,17
鲁卫星,39,2,1,17
高连如,40,2,1,17
朱智明,41,2,1,17
费宇行,42,2,1,17
王俊华,43,2,1,17
王文清,44,2,1,17
侯晓平,45,2,1,17
李军,46,2,1,17
徐浩,47,2,1,17
王小冬,48,2,1,17
宋成运,49,2,1,17
治疗,50,8,8,0
药物治疗,51,2,1,50
氨苯蝶啶,52,3,1,51
氨力农,53,3,1,51
安钠咖,54,3,1,51
奥卡西平,55,3,1,51
阿托伐他汀钙,56,3,1,51
苄氟噻嗪,57,3,1,51
丙戊酸钠,58,3,1,51
布美他尼,59,3,1,51
茶碱,60,3,1,51
单硝酸异山梨酯,61,3,1,51
禁忌,62,8,8,0
禁忌药物,63,2,1,62
加压素,64,3,1,63
醋酸可的松,65,3,1,63
盐酸拉贝洛尔,66,3,1,63
醋酸氢化可的松,67,3,1,63
盐酸阿扑吗啡,68,3,1,63
阿替洛尔,69,3,1,63
氢化可的松,70,3,1,63
硫利达嗪,71,3,1,63
前列地尔,72,3,1,63
西洛他唑,73,3,1,63
相关疾病,74,8,8,0
并发症,75,2,1,74
肺栓塞,76,3,1,75
静脉血栓形成,77,3,1,75
肺水肿,78,3,1,75
