name,id,category,value,target
心律失常,0,0,16,0
病因,1,6,8,0
冠心病,2,2,1,1
心肌病,3,2,1,1
心肌炎,4,2,1,1
风湿性心脏病,5,2,1,1
临床表现,6,6,8,0
心动过速,7,2,1,6
肾血流量减少,8,2,1,6
传导异常,9,2,1,6
呼吸困难,10,2,1,6
诊断,11,6,8,0
心电图,12,2,1,11
低血压,13,2,1,11
昏厥或近乎昏厥,14,2,1,11
抽搐,15,2,1,11
心绞痛,16,2,1,11
心力衰竭,17,2,1,11
听诊,18,2,1,11
颈动脉窦按摩,19,2,1,11
检查,20,6,8,0
心电图,21,2,1,20
动态心电图,22,2,1,20
电生理检查,23,2,1,20
信号平均心电图,24,2,1,20
运动试验,25,2,1,20
治疗,26,6,8,0
病因治疗,27,2,1,26
药物治疗,28,2,1,26
异丙肾上腺素,29,3,1,28
阿托品,30,3,1,28
碳酸氢钠,31,3,1,28
新斯的明,32,3,1,28
洋地黄制剂,33,3,1,28
非药物治疗,34,2,1,26
心脏起搏器,35,3,1,34
电复律,36,3,1,34
电除颤,37,3,1,34
电消融,38,3,1,34
射频消融,39,3,1,34
冷冻,40,3,1,34
激光消融,41,3,1,34
手术治疗,42,3,1,34
预防,43,6,8,0
预防诱发因素,44,2,1,43
稳定的情绪,45,2,1,43
自我监测,46,2,1,43
合理用药,47,2,1,43
定期复查,48,2,1,43
生活规律,49,2,1,43
