name,id,category,value,target
心房颤动,0,0,16,0
病因,1,10,8,0
器质性心脏病的患者,2,2,1,1
风湿性二尖瓣病变,3,3,1,2
冠心病,4,3,1,2
原发性心肌病,5,3,1,2
甲状腺功能亢进,6,3,1,2
慢性缩窄性心包炎,7,3,1,2
低温麻醉,8,2,1,1
胸腔和心脏手术后,9,2,1,1
急性感染,10,2,1,1
脑血管意外,11,2,1,1
洋地黄中毒,12,2,1,1
转移性肿瘤侵及心脏,13,2,1,1
特发性房颤,14,2,1,1
发病机制,15,10,8,0
异常自律性,16,2,1,15
环行运动,17,2,1,15
临床表现,18,10,8,0
心悸,19,2,1,18
胸闷,20,2,1,18
惊慌,21,2,1,18
检查,22,10,8,0
有器质性心脏病基础的年轻患者,23,2,1,22
血液常规检查,24,3,1,23
肌酸激酶,25,3,1,23
丙氨酸氨基转移酶,26,3,1,23
白蛋白,27,3,1,23
间接胆红素,28,3,1,23
胆红素总量,29,3,1,23
尿常规检查,30,3,1,23
血肌酐,31,3,1,23
心电图,32,3,1,23
动态心电图,33,3,1,23
红细胞沉降率,34,3,1,23
门冬氨酸氨基转移酶,35,3,1,23
总蛋白,36,3,1,23
直接胆红素,37,3,1,23
粪常规检查,38,3,1,23
血尿素氮,39,3,1,23
C-反应蛋白,40,3,1,23
心动超声图,41,3,1,23
年龄较大器质性心脏病患者,42,2,1,22
运动试验,43,3,1,42
三－碘甲腺原氨酸总量,44,3,1,42
甲状腺素总量,45,3,1,42
游离三－碘甲腺原氨酸,46,3,1,42
游离甲状腺素,47,3,1,42
促甲状腺激素,48,3,1,42
ＭＲ检查,49,3,1,42
ＣＴ检查,50,3,1,42
心电描记术,51,2,1,22
诊断,52,10,8,0
心电图检查,53,2,1,52
治疗,54,10,8,0
控制心室率,55,2,1,54
转复心律,56,2,1,54
复律的指征,57,3,1,56
复律的方法,58,3,1,56
预防复发,59,2,1,54
奎尼丁,60,3,1,59
普罗帕酮,61,3,1,59
胺碘酮,62,3,1,59
预防血栓栓塞,63,2,1,54
华法林,64,3,1,63
药物治疗,65,2,1,54
苯妥英钠,66,3,1,65
地高辛,67,3,1,65
肝素,68,3,1,65
肝素钙,69,3,1,65
华法林钠,70,3,1,65
硫酸奎尼丁,71,3,1,65
毛花苷丙,72,3,1,65
去乙酰毛花苷,73,3,1,65
盐酸艾司洛尔,74,3,1,65
盐酸胺碘酮,75,3,1,65
禁忌,76,10,8,0
禁忌药物,77,2,1,76
链激酶,78,3,1,77
地高辛,79,3,1,77
毒毛花苷K,80,3,1,77
毛花苷丙,81,3,1,77
去乙酰毛花苷,82,3,1,77
科室,83,10,8,0
心血管内科,84,2,1,83
发病部位,85,10,8,0
心脏,86,2,1,85
相关医生,87,10,8,0
王水云,88,2,1,87
樊朝美,89,2,1,87
黄丛春,90,2,1,87
王俊华,91,2,1,87
徐浩,92,2,1,87
