name,id,category,value,target
心绞痛,0,0,16,0
临床表现,1,7,8,0
胸痛,2,2,1,1
检查,3,7,8,0
磁共振成像,4,2,1,3
心电描记术,5,2,1,3
科室,6,7,8,0
心血管内科,7,2,1,6
发病部位,8,7,8,0
心脏,9,2,1,8
相关医生,10,7,8,0
李格,11,2,1,10
秦学文,12,2,1,10
陈珏,13,2,1,10
王蕾,14,2,1,10
高连如,15,2,1,10
李军,16,2,1,10
治疗,17,7,8,0
药物治疗,18,2,1,17
阿司匹林,19,3,1,18
阿替洛尔,20,3,1,18
苯磺酸氨氯地平,21,3,1,18
单硝酸异山梨酯,22,3,1,18
低分子量肝素,23,3,1,18
非洛地平,24,3,1,18
富马酸比索洛尔,25,3,1,18
肝素,26,3,1,18
酒石酸美托洛尔,27,3,1,18
硫酸氯吡格雷,28,3,1,18
禁忌,29,7,8,0
禁忌药物,30,2,1,29
硝苯地平,31,3,1,30
溴吡斯的明,32,3,1,30
重组人干扰素α1b,33,3,1,30
溴新斯的明,34,3,1,30
甲硫酸新斯的明,35,3,1,30
加兰他敏,36,3,1,30
石杉碱甲,37,3,1,30
他达那非,38,3,1,30
盐酸氯胺酮,39,3,1,30
