name,id,category,value,target
心肌梗死,0,0,16,0
临床表现,1,8,8,0
发热,2,2,1,1
呼吸困难,3,2,1,1
咳嗽,4,2,1,1
呕吐,5,2,1,1
呃逆,6,2,1,1
恶心,7,2,1,1
休克,8,2,1,1
发绀,9,2,1,1
检查,10,8,8,0
超声心动描记术,11,2,1,10
心电描记术,12,2,1,10
血细胞计数,13,2,1,10
心肌酶学检查,14,2,1,10
科室,15,8,8,0
心血管内科,16,2,1,15
发病部位,17,8,8,0
心脏,18,2,1,17
血液,19,2,1,17
相关医生,20,8,8,0
杨跃进,21,2,1,20
乔树宾,22,2,1,20
秦学文,23,2,1,20
袁晋青,24,2,1,20
高连如,25,2,1,20
刘朝中,26,2,1,20
李军,27,2,1,20
治疗,28,8,8,0
药物治疗,29,2,1,28
阿司匹林,30,3,1,29
阿替洛尔,31,3,1,29
阿托伐他汀钙,32,3,1,29
阿西美辛,33,3,1,29
达肝素钠,34,3,1,29
单硝酸异山梨酯,35,3,1,29
锝【99mTc】甲氧异腈,36,3,1,29
富马酸比索洛尔,37,3,1,29
福辛普利钠,38,3,1,29
肝素,39,3,1,29
禁忌,40,8,8,0
禁忌药物,41,2,1,40
醋酸可的松,42,3,1,41
盐酸地尔硫卓,43,3,1,41
硝苯地平,44,3,1,41
硝酸异山梨酯,45,3,1,41
硝酸甘油,46,3,1,41
地塞米松,47,3,1,41
普罗布考,48,3,1,41
曲美他嗪,49,3,1,41
益多酯,50,3,1,41
相关疾病,51,8,8,0
并发症,52,2,1,51
二尖瓣脱垂,53,3,1,52
心力衰竭,54,3,1,52
肺水肿,55,3,1,52
心脏破裂,56,3,1,52
心脏压塞,57,3,1,52
室间隔破裂,58,3,1,52
震颤,59,3,1,52
栓塞,60,3,1,52
胆固醇栓塞,61,3,1,52
静脉血栓形成,62,3,1,52
心包炎,63,3,1,52
胸膜炎,64,3,1,52
肺炎,65,3,1,52
过敏反应,66,3,1,52
血栓形成,67,3,1,52
鉴别诊断,68,2,1,51
心绞痛,69,3,1,68
