name,id,category,value,target
心肌炎,0,0,16,0
病因,1,11,8,0
细菌感染,2,2,1,1
细菌,3,3,1,2
病毒,4,3,1,2
真菌,5,3,1,2
原虫,6,3,1,2
过度运动,7,2,1,1
营养不良,8,2,1,1
临床表现,9,11,8,0
原发感染的表现,10,2,1,9
心悸,11,2,1,9
无力,12,2,1,9
胸闷,13,2,1,9
胸痛,14,2,1,9
恶心,15,2,1,9
发热,16,2,1,9
呼吸困难,17,2,1,9
呕吐,18,2,1,9
水肿,19,2,1,9
检查,20,11,8,0
心电图,21,2,1,20
X线检查,22,2,1,20
血液检查,23,2,1,20
超声心动描记术,24,2,1,20
活组织检查,25,2,1,20
心电描记术,26,2,1,20
血沉,27,2,1,20
治疗,28,11,8,0
卧床休息,29,2,1,28
免疫抑制剂,30,2,1,28
强的松,31,3,1,30
氢化考地松,32,3,1,30
地塞松,33,3,1,30
鉴别诊断,34,11,8,0
原发性心内膜弹力纤维增生症,35,2,1,34
中毒性心肌炎,36,2,1,34
风湿性心脏炎,37,2,1,34
克山病,38,2,1,34
预防,39,11,8,0
加强身体锻炼,40,2,1,39
提高机体抗病能力,41,2,1,39
避免劳累,42,2,1,39
科室,43,11,8,0
心血管内科,44,2,1,43
发病部位,45,11,8,0
心脏,46,2,1,45
相关医生,47,11,8,0
黄力,48,2,1,47
袁越,49,2,1,47
林利,50,2,1,47
张永兰,51,2,1,47
武泽民,52,2,1,47
王临惠,53,2,1,47
李平,54,2,1,47
鲁卫星,55,2,1,47
徐浩,56,2,1,47
治疗,57,11,8,0
药物治疗,58,2,1,57
阿司匹林,59,3,1,58
地高辛,60,3,1,58
泛癸利酮,61,3,1,58
干扰素,62,3,1,58
门冬氨酸钾镁,63,3,1,58
牛磺酸,64,3,1,58
三磷酸腺苷,65,3,1,58
转移因子,66,3,1,58
禁忌,67,11,8,0
禁忌药物,68,2,1,67
毒毛花苷K,69,3,1,68
