name,id,category,value,target
短暂性脑缺血发作,0,0,16,0
临床表现,1,6,8,0
抽搐,2,2,1,1
恶心,3,2,1,1
偏盲,4,2,1,1
偏瘫,5,2,1,1
头痛,6,2,1,1
眩晕,7,2,1,1
晕厥,8,2,1,1
检查,9,6,8,0
超声心动描记术,10,2,1,9
磁共振成像,11,2,1,9
心电描记术,12,2,1,9
血小板计数,13,2,1,9
血细胞计数,14,2,1,9
科室,15,6,8,0
神经内科,16,2,1,15
心血管内科,17,2,1,15
发病部位,18,6,8,0
脑,19,2,1,18
治疗,20,6,8,0
药物治疗,21,2,1,20
阿司匹林,22,3,1,21
肝素,23,3,1,21
降纤酶,24,3,1,21
己酮可可碱,25,3,1,21
尼麦角林,26,3,1,21
双嘧达莫,27,3,1,21
腺苷,28,3,1,21
盐酸氟桂利嗪,29,3,1,21
氯毗格雷,30,3,1,21
奥扎格雷,31,3,1,21
华法林,32,3,1,21
相关疾病,33,6,8,0
鉴别诊断,34,2,1,33
梅尼埃病,35,3,1,34
青光眼,36,3,1,34
直立性低血压,37,3,1,34
