name,id,category,value,target
肺心病,0,0,16,0
临床表现,1,7,8,0
恶心,2,2,1,1
呼吸困难,3,2,1,1
咯血,4,2,1,1
咳嗽,5,2,1,1
疲劳,6,2,1,1
头痛,7,2,1,1
胸痛,8,2,1,1
检查,9,7,8,0
心电描记术,10,2,1,9
血气分析,11,2,1,9
血细胞计数,12,2,1,9
科室,13,7,8,0
呼吸内科,14,2,1,13
心血管内科,15,2,1,13
发病部位,16,7,8,0
肺,17,2,1,16
心脏,18,2,1,16
相关医生,19,7,8,0
林江涛,20,2,1,19
成立珠,21,2,1,19
张洪春,22,2,1,19
王雪京,23,2,1,19
倪新海,24,2,1,19
金玫,25,2,1,19
刘薇,26,2,1,19
王洪,27,2,1,19
张燕萍,28,2,1,19
孔伟,29,2,1,19
高峰,30,2,1,19
治疗,31,7,8,0
药物治疗,32,2,1,31
尼可刹米,33,3,1,32
茶碱,34,3,1,32
相关疾病,35,7,8,0
并发症,36,2,1,35
弥漫性血管内凝血,37,3,1,36
胃肠出血,38,3,1,36
鉴别诊断,39,2,1,35
缩窄性心包炎,40,3,1,39
