name,id,category,value,target
贝赫切特综合征,0,0,16,0
临床表现,1,6,8,0
出血,2,2,1,1
蛋白尿,3,2,1,1
发热,4,2,1,1
咯血,5,2,1,1
咳嗽,6,2,1,1
水肿,7,2,1,1
头痛,8,2,1,1
心脏杂音,9,2,1,1
血尿,10,2,1,1
检查,11,6,8,0
潜血,12,2,1,11
血沉,13,2,1,11
血小板计数,14,2,1,11
科室,15,6,8,0
口腔科,16,2,1,15
免疫内科,17,2,1,15
皮肤科,18,2,1,15
心血管内科,19,2,1,15
眼科,20,2,1,15
相关医生,21,6,8,0
王忠,22,2,1,21
治疗,23,6,8,0
药物治疗,24,2,1,23
白芍总苷,25,3,1,24
苯丁酸氮芥,26,3,1,24
聚肌苷酸-聚胞苷酸,27,3,1,24
秋水仙碱,28,3,1,24
肾上腺糖皮质激素,29,3,1,24
司坦唑醇,30,3,1,24
环孢菌素A,31,3,1,24
环磷酰胺,32,3,1,24
FK506,33,3,1,24
相关疾病,34,6,8,0
鉴别诊断,35,2,1,34
强直性脊柱炎,36,3,1,35
结节病,37,3,1,35
