name,id,category,value,target
颅内动脉瘤,0,0,16,0
临床表现,1,7,8,0
出血,2,2,1,1
恶心,3,2,1,1
肥胖症,4,2,1,1
呕吐,5,2,1,1
呕血,6,2,1,1
偏盲,7,2,1,1
偏瘫,8,2,1,1
水肿,9,2,1,1
头痛,10,2,1,1
眩晕,11,2,1,1
意识障碍,12,2,1,1
检查,13,7,8,0
尿分析,14,2,1,13
心电描记术,15,2,1,13
血沉,16,2,1,13
血细胞计数,17,2,1,13
CT扫描,18,2,1,13
MRI,19,2,1,13
科室,20,7,8,0
神经外科,21,2,1,20
发病部位,22,7,8,0
动脉,23,2,1,22
相关医生,24,7,8,0
郭京,25,2,1,24
治疗,26,7,8,0
药物治疗,27,2,1,26
氨甲环酸,28,3,1,27
苯巴比妥,29,3,1,27
苯妥英钠,30,3,1,27
丙戊酸钠,31,3,1,27
吗啡,32,3,1,27
葡萄糖,33,3,1,27
相关疾病,34,7,8,0
并发症,35,2,1,34
癫痫,36,3,1,35
脑梗死,37,3,1,35
脑积水,38,3,1,35
