name,id,category,value,target
高脂血症,0,0,16,0
相关医生,1,10,8,0
姜红,2,2,1,1
贾海忠,3,2,1,1
秦学文,4,2,1,1
柯元南,5,2,1,1
王云,6,2,1,1
陈江天,7,2,1,1
李海燕,8,2,1,1
刘卫红,9,2,1,1
李静,10,2,1,1
赵海滨,11,2,1,1
鲁卫星,12,2,1,1
齐洪娇,13,2,1,1
朱智明,14,2,1,1
王忠,15,2,1,1
黄丛春,16,2,1,1
王文清,17,2,1,1
侯晓平,18,2,1,1
郑军,19,2,1,1
徐浩,20,2,1,1
治疗,21,10,8,0
药物治疗,22,2,1,21
通脉降脂片,23,3,1,22
血脂康胶囊,24,3,1,22
血脂灵片,25,3,1,22
血脂宁丸,26,3,1,22
丹田降脂丸,27,3,1,22
健脾降脂颗粒,28,3,1,22
脂脉康胶囊,29,3,1,22
烟酸,30,3,1,22
氟伐他汀,31,3,1,22
氯贝丁酯,32,3,1,22
禁忌,33,10,8,0
禁忌药物,34,2,1,33
考来烯胺,35,3,1,34
左炔诺孕酮,36,3,1,34
